"date","time","longitude","latitude"
"2012-11-15","19:27:54",-77.26461,-11.773872
"2012-11-15","19:27:55",-77.26461,-11.77387
"2012-11-15","19:27:56",-77.26461,-11.77387
"2012-11-15","19:27:57",-77.26461,-11.773869
"2012-11-15","19:27:58",-77.26461,-11.773868
"2012-11-15","19:27:59",-77.26461,-11.773869
"2012-11-15","19:28:00",-77.26461,-11.77387
"2012-11-15","19:28:01",-77.26461,-11.77387
"2012-11-15","19:28:02",-77.26461,-11.773872
"2012-11-15","19:28:03",-77.26461,-11.773873
"2012-11-15","19:28:04",-77.26461,-11.773873
"2012-11-15","19:28:05",-77.26461,-11.773874
"2012-11-15","19:28:06",-77.26461,-11.773874
"2012-11-15","19:28:07",-77.26461,-11.773873
"2012-11-15","19:28:08",-77.26461,-11.773873
"2012-11-15","19:28:09",-77.26461,-11.773872
"2012-11-15","19:28:10",-77.26461,-11.773873
"2012-11-15","19:28:11",-77.26461,-11.773873
"2012-11-15","19:28:12",-77.26461,-11.773874
"2012-11-15","19:28:13",-77.26461,-11.773875
"2012-11-15","19:28:14",-77.26461,-11.773875
"2012-11-15","19:28:15",-77.26461,-11.773876
"2012-11-15","19:28:16",-77.26461,-11.77391
"2012-11-15","19:28:17",-77.26461,-11.773887
"2012-11-15","19:28:18",-77.26461,-11.773889
"2012-11-15","19:28:19",-77.26461,-11.773883
"2012-11-15","19:28:20",-77.26461,-11.773885
"2012-11-15","19:28:21",-77.26461,-11.773885
"2012-11-15","19:28:22",-77.264694,-11.773727
"2012-11-15","19:28:23",-77.264694,-11.773726
"2012-11-15","19:28:24",-77.264694,-11.773726
"2012-11-15","19:28:26",-77.264694,-11.773726
"2012-11-15","19:28:27",-77.264694,-11.773726
"2012-11-15","19:28:28",-77.264694,-11.773726
"2012-11-15","19:28:29",-77.264694,-11.773726
"2012-11-15","19:28:30",-77.264694,-11.773726
"2012-11-15","19:28:31",-77.264694,-11.773726
"2012-11-15","19:28:32",-77.264694,-11.773726
"2012-11-15","19:28:33",-77.264694,-11.773726
"2012-11-15","19:28:34",-77.264694,-11.773726
"2012-11-15","19:28:35",-77.264694,-11.773726
"2012-11-15","19:28:36",-77.264694,-11.773726
"2012-11-15","19:28:37",-77.264694,-11.773726
"2012-11-15","19:28:38",-77.264694,-11.773726
"2012-11-15","19:28:39",-77.264694,-11.773726
"2012-11-15","19:28:40",-77.264694,-11.773726
"2012-11-15","19:28:41",-77.264694,-11.773726
"2012-11-15","19:28:42",-77.264694,-11.773726
"2012-11-15","19:28:43",-77.264694,-11.773726
"2012-11-15","19:28:44",-77.264694,-11.773726
"2012-11-15","19:28:45",-77.264694,-11.773726
"2012-11-15","19:28:46",-77.264565,-11.773787
